(Kind,code,score,name,professor,week,start_time,end_time)
전선 > 토목공학전공,635002-01,3,지하구조물설계,김동주,목,14:30:00,17:30:00
전선 > 토목공학전공,635021-01,3,캡스톤디자인(토목적산),이혜진,목,09:30:00,13:30:00
전선 > 환경에너지공학전공,551009-01,3,대기오염방지공학,박원석,수,14:30:00,17:30:00
전선 > 환경에너지공학전공,552032-01,3,수질분석실험,김명운,월,13:30:00,17:30:00
전필 > 환경에너지공학전공,552058-01,3,환경수리학,스마강사5,목,09:30:00,12:30:00
전선 > 환경에너지공학전공,555020-01,3,폐기물자원화공학,신동철,월,10:00:00,11:30:00
전선 > 환경에너지공학전공,555020-01,3,폐기물자원화공학,신동철,화,10:00:00,11:30:00
전선 > 환경에너지공학전공,551019-01,3,수처리공학,신동철,월,11:30:00,13:00:00
전선 > 환경에너지공학전공,551019-01,3,수처리공학,신동철,화,11:30:00,13:00:00
전선 > 환경에너지공학전공,552008-01,3,환경관계법규,김명운,화,11:30:00,13:00:00
전선 > 환경에너지공학전공,552008-01,3,환경관계법규,김명운,목,10:00:00,11:30:00
전선 > 환경에너지공학전공,552101-01,3,해양오염론,김명운,화,10:00:00,11:30:00
전선 > 환경에너지공학전공,552101-01,3,해양오염론,김명운,수,10:00:00,11:30:00
전선 > 환경에너지공학전공,554007-01,3,상하수도설계공학,스마강사6,목,13:30:00,16:30:00
전선 > 환경에너지공학전공,555010-01,3,기후변화대응정책,박원석,수,11:30:00,14:30:00
전선 > 환경에너지공학전공,555022-01,3,폐기물에너지공학실험,신동철,화,13:30:00,17:30:00
전선 > 환경에너지공학전공,555023-01,3,환경에너지빅데이터분석,김명운,월,09:30:00,13:30:00
전선 > 환경에너지공학전공,555026-01,3,캡스톤디자인(환경에너지공학Ⅱ),신동철,목,14:30:00,18:25:00
전선 > 휴먼케어평생교육학과(야),275004-01,3,평생교육방법론,송성숙,토,09:30:00,12:30:00
전선 > 휴먼케어평생교육학과(야),275005-01,3,사회복지행정론,신미애,수,18:00:00,20:30:00
전선 > 휴먼케어평생교육학과(야),275048-01,3,청소년활동,김경식,목,20:30:00,23:00:00
전선 > 휴먼케어평생교육학과(야),275014-01,3,평생교육경영론,송성숙,수,18:00:00,20:30:00
전선 > 휴먼케어평생교육학과(야),275050-01,3,청소년지도방법론,김대겸,화,18:00:00,20:30:00
전선 > 휴먼케어평생교육학과(야),275010-01,3,노인교육론,송성숙,토,13:00:00,16:00:00
전선 > 휴먼케어평생교육학과(야),275021-01,3,사회복지현장실습,유미선,화,18:00:00,21:20:00
전선 > 휴먼케어평생교육학과(야),275040-01,3,사회복지법제및실천,신미애,토,13:00:00,16:00:00
전선 > 휴먼케어평생교육학과(야),275041-01,3,가족생활교육,함현진,토,13:00:00,16:00:00
전선 > 휴먼케어평생교육학과(야),275053-01,3,청소년문제와보호,김대겸,화,20:30:00,23:00:00
전선 > 휴먼케어평생교육학과(야),275022-01,3,성인학습및상담,신미애,토,09:30:00,12:30:00
전선 > 휴먼케어평생교육학과(야),275025-01,3,문자해득교육론,송성숙,수,20:30:00,23:00:00
전선 > 휴먼케어평생교육학과(야),275055-01,3,청소년육성제도론,김경식,목,18:00:00,20:30:00
전선 > 실버복지상담학과(야),276003-01,3,인간행동과사회환경,신미애,토,16:00:00,18:50:00
전선 > 실버복지상담학과(야),276005-01,3,발달심리학,함현진,토,16:00:00,18:50:00
전선 > 실버복지상담학과(야),276023-01,3,치매예방이론과실제,유선희,수,20:30:00,23:00:00
전선 > 실버복지상담학과(야),276031-01,3,지역사회복지론,함현진,수,20:30:00,23:00:00
전선 > 실버복지상담학과(야),276006-01,3,사회보장론,김후년,수,20:30:00,23:00:00
전선 > 실버복지상담학과(야),276025-01,3,노인복지론,김후년,토,13:00:00,16:00:00
전선 > 실버복지상담학과(야),276027-01,3,노인레크레이션,김후년,토,09:30:00,12:30:00
전선 > 실버복지상담학과(야),276028-01,3,치매노인안전관리,김후년,수,18:00:00,20:30:00
전선 > 드론산업학과(야),278002-01,3,정비개론,한규정,토,13:00:00,17:00:00
전선 > 드론산업학과(야),278003-01,3,무기체계도입,드론강사2,토,09:30:00,12:30:00
전선 > 드론산업학과(야),278004-01,3,무인항공기사고조사,한규정,토,17:00:00,20:30:00
전선 > 한국학과,871001-01,3,심화한국어1,공하림,목,16:30:00,19:15:00
전선 > 한국학과,871001-03,3,심화한국어1,한국강사16,월,10:00:00,13:00:00
전선 > 한국학과,871002-01,3,학업한국어기초듣기,공하림,목,09:30:00,12:30:00
전선 > 한국학과,871002-02,3,학업한국어기초듣기,이선형,목,10:00:00,13:00:00
전선 > 한국학과,871002-03,3,학업한국어기초듣기,한국강사17,금,10:00:00,13:00:00
전선 > 한국학과,871003-01,3,학업한국어기초말하기,공하림,목,13:30:00,16:30:00
전선 > 한국학과,871003-02,3,학업한국어기초말하기,최재민,목,10:00:00,13:00:00
전선 > 한국학과,871003-03,3,학업한국어기초말하기,김선미,목,10:00:00,13:00:00
전선 > 한국학과,871004-01,3,학업한국어기초쓰기,김연희,금,13:30:00,16:30:00
전선 > 한국학과,871004-02,3,학업한국어기초쓰기,최재민,목,14:00:00,17:00:00
전선 > 한국학과,871004-03,3,학업한국어기초쓰기,김선미,목,14:00:00,17:00:00
전선 > 한국학과,871005-01,3,학업한국어기초읽기,김연희,금,09:30:00,12:30:00
전선 > 한국학과,871005-02,3,학업한국어기초읽기,이선형,목,14:00:00,17:00:00
전선 > 한국학과,871005-03,3,학업한국어기초읽기,한국강사17,금,14:00:00,17:00:00
전선 > 한국학과,871006-01,3,심화한국어2,공하림,수,16:30:00,19:15:00
전선 > 한국학과,871006-03,3,심화한국어2,한국강사16,월,14:00:00,17:00:00
전선 > 한국학과,871007-01,3,학업한국어기초문법,공하림,수,09:30:00,12:30:00
전선 > 한국학과,871008-01,3,K-POP한국어,김효은,목,09:30:00,12:30:00
전선 > 한국학과,871008-02,3,K-POP한국어,김효은,화,10:00:00,13:00:00
전선 > 한국학과,871008-03,3,K-POP한국어,신영선,화,10:00:00,13:00:00
전선 > 한국학과,871008-04,3,K-POP한국어,최재민,화,10:00:00,13:00:00
전선 > 한국학과,871009-01,3,드라마·예능한국어,김효은,목,13:30:00,16:30:00
전선 > 한국학과,871009-02,3,드라마·예능한국어,김효은,화,14:00:00,17:00:00
전선 > 한국학과,871009-03,3,드라마·예능한국어,신영선,화,14:00:00,17:00:00
전선 > 한국학과,871009-04,3,드라마·예능한국어,최재민,화,14:00:00,17:00:00
전선 > 한국학과,871010-01,3,한국의생활문화와언어,공하림,수,13:30:00,16:30:00
전선 > 한국학과,871011-01,3,학업한국어듣기,주재환,수,09:30:00,12:30:00
전선 > 한국학과,871012-01,3,학업한국어말하기,주재환,수,13:30:00,16:30:00
전선 > 한국학과,871012-02,3,학업한국어말하기,김선미,금,10:00:00,13:00:00
전선 > 한국학과,871012-03,3,학업한국어말하기,이선형,금,10:00:00,13:00:00
전선 > 한국학과,871012-04,3,학업한국어말하기,신영선,금,10:00:00,13:00:00
